Núm. venta,Fecha,Patrón,Categoría,Dificultad,Tamaño,Núm. ovillos,Precio (€),Precio venta patrón (€),País,Sexo,Edad
266,15/12/2024,Gnomo,Otoño,Media,Mediano,5,10.37,5.0,Argentina,Hombre,42
267,18/12/2024,Oso panda,Llavero,Baja,Pequeño,2,14.84,3.5,Colombia,Hombre,30
268,22/05/2024,Oso navideño,Navidad,Media,Mediano,4,39.72,5.0,India,Hombre,64
269,14/03/2024,Oso navideño,Navidad,Media,Mediano,4,15.92,5.0,Perú,Mujer,33
270,04/02/2024,Gnomo,Otoño,Media,Mediano,5,47.24,5.0,Cuba,Mujer,42
271,06/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,19.85,5.0,Estados Unidos,Mujer,25
272,26/03/2024,Oso panda,Llavero,Baja,Pequeño,2,42.44,3.5,Bolivia,Mujer,64
273,21/10/2024,Oso panda,Llavero,Baja,Pequeño,2,15.3,3.5,Perú,Mujer,43
274,18/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,31.3,5.0,Noruega,Mujer,30
275,13/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,47.89,5.0,Ecuador,Mujer,20
276,18/04/2024,Papa Noel,Navidad,Alta,Grande,7,25.56,7.5,Guatemala,Mujer,35
277,08/10/2024,Oso panda,Llavero,Baja,Pequeño,2,42.49,3.5,El Salvador,Hombre,27
278,28/08/2024,Oso navideño,Navidad,Media,Mediano,4,38.0,5.0,México,Hombre,58
279,06/11/2024,Oso corazón,Amor,Media,Mediano,4,6.26,5.0,Colombia,Mujer,19
280,14/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,5.17,5.0,Guatemala,Hombre,22
281,20/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,43.83,5.0,España,Mujer,29
282,20/01/2024,Oso panda,Llavero,Baja,Pequeño,2,28.89,3.5,Guatemala,Mujer,34
283,24/04/2024,Oso corazón,Amor,Media,Mediano,4,21.99,5.0,Perú,Mujer,21
284,22/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,6.1,5.0,Perú,Hombre,31
285,06/03/2024,Oso navideño,Navidad,Media,Mediano,4,15.58,5.0,China,Mujer,23
286,14/04/2024,Papa Noel,Navidad,Alta,Grande,7,6.04,7.5,República Dominicana,Hombre,49
287,07/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,37.05,5.0,Uruguay,Mujer,40
288,24/03/2024,Oso navideño,Navidad,Media,Mediano,4,40.67,5.0,Paraguay,Hombre,58
289,28/05/2024,Oso panda,Llavero,Baja,Pequeño,2,28.21,3.5,Guatemala,Hombre,40
290,19/03/2024,Oso navideño,Navidad,Media,Mediano,4,40.94,5.0,Panamá,Hombre,49
291,12/01/2024,Oso navideño,Navidad,Media,Mediano,4,20.26,5.0,Chile,Hombre,31
292,10/02/2024,Oso panda,Llavero,Baja,Pequeño,2,45.51,3.5,Nicaragua,Mujer,57
293,08/04/2024,Papa Noel,Navidad,Alta,Grande,7,47.75,7.5,Suecia,Mujer,67
294,10/08/2024,Oso corazón,Amor,Media,Mediano,4,9.39,5.0,Honduras,Hombre,27
295,19/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,48.45,5.0,Paraguay,Mujer,20
296,15/02/2024,Rana,Llavero,Baja,Pequeño,1,29.2,3.5,Costa Rica,Mujer,33
297,05/12/2024,Oso corazón,Amor,Media,Mediano,4,15.79,5.0,Costa Rica,Mujer,48
298,08/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,36.42,5.0,India,Mujer,46
299,13/07/2024,Rana,Llavero,Baja,Pequeño,1,8.07,3.5,Portugal,,64
300,02/05/2024,Oso panda,Llavero,Baja,Pequeño,2,5.79,3.5,Guatemala,Mujer,39
301,08/03/2024,Rana,Llavero,Baja,Pequeño,1,6.67,3.5,Perú,Mujer,58
302,27/03/2024,Papa Noel,Navidad,Alta,Grande,7,31.3,7.5,México,Mujer,41
303,27/07/2024,Papa Noel,Navidad,Alta,Grande,7,47.18,7.5,México,Mujer,24
304,14/12/2024,Papa Noel,Navidad,Alta,Grande,7,36.64,7.5,Brasil,Mujer,26
305,27/05/2024,Oso navideño,Navidad,Media,Mediano,4,6.74,5.0,Chile,Mujer,??
306,05/04/2024,Oso panda,Llavero,Baja,Pequeño,2,42.11,3.5,El Salvador,Hombre,65
307,12/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,38.68,5.0,Paraguay,Hombre,30
308,26/05/2024,Gnomo,Otoño,Media,Mediano,5,9.25,5.0,Panamá,Mujer,67
309,25/10/2024,Oso corazón,Amor,Media,Mediano,4,14.69,5.0,Argentina,Mujer,38
310,13/11/2024,Oso navideño,Navidad,Media,Mediano,4,22.24,5.0,Cuba,Mujer,63
311,16/05/2024,Oso navideño,Navidad,Media,Mediano,4,11.05,5.0,Guatemala,Hombre,59
312,27/10/2024,Oso panda,Llavero,Baja,Pequeño,2,45.95,3.5,Corea del Sur,Hombre,52
313,15/12/2024,Oso corazón,Amor,Media,Mediano,4,5.4,5.0,Panamá,Mujer,29
314,16/12/2024,Oso panda,Llavero,Baja,Pequeño,2,48.32,3.5,Honduras,Mujer,68
315,27/05/2024,Oso corazón,Amor,Media,Mediano,4,30.47,5.0,Sudáfrica,Mujer,45
316,27/04/2024,Oso corazón,Amor,Media,Mediano,4,47.76,5.0,El Salvador,Hombre,41
317,15/02/2024,Oso navideño,Navidad,Media,Mediano,4,41.59,5.0,Honduras,Mujer,57
318,15/04/2024,Oso navideño,Navidad,Media,Mediano,4,38.27,5.0,Argentina,Mujer,58
319,03/01/2024,Oso corazón,Amor,Media,Mediano,4,15.4,5.0,Ecuador,Mujer,63
320,06/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.79,5.0,Perú,Mujer,57
321,24/11/2024,Oso corazón,Amor,Media,Mediano,4,22.0,5.0,Alemania,Mujer,
322,10/06/2024,Cupido,Amor,Alta,Mediano,6,17.16,5.0,Brasil,Hombre,48
323,03/10/2024,Rana,Llavero,Baja,Pequeño,1,20.49,3.5,Guatemala,Hombre,26
324,26/05/2024,Oso panda,Llavero,Baja,Pequeño,2,49.58,3.5,México,Mujer,29
325,28/07/2024,Oso corazón,Amor,Media,Mediano,4,43.45,5.0,Cuba,Hombre,40
326,11/03/2024,Oso panda,Llavero,Baja,Pequeño,2,47.18,3.5,Canadá,Mujer,58
327,10/03/2024,Oso panda,Llavero,Baja,Pequeño,2,8.14,3.5,República Dominicana,Mujer,41
328,06/10/2024,Gnomo,Otoño,Media,Mediano,5,7.12,5.0,El Salvador,Mujer,69
329,20/12/2024,Oso corazón,Amor,Media,Mediano,4,23.66,5.0,Chile,Mujer,57
330,16/05/2024,Oso navideño,Navidad,Media,Mediano,4,20.41,5.0,Nicaragua,Hombre,19
331,07/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,41.85,5.0,República Dominicana,Mujer,36
332,09/02/2024,Oso panda,Llavero,Baja,Pequeño,2,8.67,3.5,Cuba,Hombre,61
333,10/02/2024,Rana,Llavero,Baja,Pequeño,1,33.11,3.5,Uruguay,Mujer,56
334,22/05/2024,Oso navideño,Navidad,Media,Mediano,4,36.38,5.0,Chile,Hombre,31
335,22/12/2024,Oso corazón,Amor,Media,Mediano,4,48.42,5.0,España,Mujer,30
336,22/07/2024,Oso panda,Llavero,Baja,Pequeño,2,15.05,3.5,Canadá,Mujer,24
337,25/10/2024,Oso panda,Llavero,Baja,Pequeño,2,14.37,3.5,Costa Rica,Mujer,49
338,03/07/2024,Oso navideño,Navidad,Media,Mediano,4,44.68,5.0,España,Mujer,57
339,13/12/2024,Oso corazón,Amor,Media,Mediano,4,8.24,5.0,Cuba,Hombre,60
340,28/10/2024,Oso corazón,Amor,Media,Mediano,4,29.03,5.0,Bolivia,Hombre,42
341,15/06/2024,Oso navideño,Navidad,Media,Mediano,4,12.55,5.0,Argentina,Mujer,70
342,27/11/2024,Oso panda,Llavero,Baja,Pequeño,2,16.16,3.5,Bolivia,Mujer,68
343,15/11/2024,Oso corazón,Amor,Media,Mediano,4,14.39,5.0,Costa Rica,Hombre,54
344,08/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,28.13,5.0,México,Mujer,51
345,15/03/2024,Papa Noel,Navidad,Alta,Grande,7,28.69,7.5,Argentina,Mujer,39
346,08/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,13.88,5.0,Estados Unidos,Mujer,59
347,17/08/2024,Oso corazón,Amor,Media,Mediano,4,9.41,5.0,Egipto,Mujer,51
348,06/07/2024,Rana,Llavero,Baja,Pequeño,1,7.18,3.5,Cuba,Hombre,32
349,03/02/2024,Oso navideño,Navidad,Media,Mediano,4,42.24,5.0,México,Hombre,32
350,13/09/2024,Oso navideño,Navidad,Media,Mediano,4,42.29,5.0,Cuba,Hombre,53
351,23/09/2024,Oso corazón,Amor,Media,Mediano,4,6.96,5.0,México,Mujer,27
352,05/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,21.8,5.0,Panamá,Hombre,18
353,01/04/2024,Oso panda,Llavero,Baja,Pequeño,2,30.64,3.5,Portugal,Hombre,37
354,11/02/2024,Oso navideño,Navidad,Media,Mediano,4,36.58,5.0,Rusia,Mujer,41
355,23/06/2024,Oso navideño,Navidad,Media,Mediano,4,49.46,5.0,Cuba,Mujer,68
356,13/09/2024,Oso navideño,Navidad,Media,Mediano,4,25.82,5.0,Ecuador,Mujer,54
357,20/02/2024,Oso panda,Llavero,Baja,Pequeño,2,28.78,3.5,Uruguay,Mujer,22
358,08/04/2024,Oso navideño,Navidad,Media,Mediano,4,49.21,5.0,Bolivia,Mujer,18
359,14/05/2024,Oso corazón,Amor,Media,Mediano,4,11.45,5.0,Portugal,Hombre,58
360,17/01/2024,Oso navideño,Navidad,Media,Mediano,4,29.73,5.0,Japón,Hombre,67
361,15/10/2024,Oso panda,Llavero,Baja,Pequeño,2,5.42,3.5,Nicaragua,Hombre,65
362,26/03/2024,Oso navideño,Navidad,Media,Mediano,4,41.66,5.0,Nicaragua,Mujer,63
363,01/05/2024,Oso navideño,Navidad,Media,Mediano,4,29.85,5.0,Bolivia,Mujer,37
364,12/08/2024,Rana,Llavero,Baja,Pequeño,1,17.48,3.5,El Salvador,Mujer,48
365,07/03/2024,Oso corazón,Amor,Media,Mediano,4,7.46,5.0,Nicaragua,Mujer,64
366,16/11/2024,Oso navideño,Navidad,Media,Mediano,4,11.03,5.0,Colombia,Hombre,38
367,06/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.09,5.0,España,Mujer,18
368,23/06/2024,Cupido,Amor,Alta,Mediano,6,41.64,5.0,República Dominicana,Mujer,57
369,17/04/2024,Oso panda,Llavero,Baja,Pequeño,2,30.98,3.5,Bolivia,Mujer,29
370,23/06/2024,Rana,Llavero,Baja,Pequeño,1,22.29,3.5,Panamá,Hombre,29
371,16/07/2024,Oso navideño,Navidad,Media,Mediano,4,14.82,5.0,Honduras,Mujer,27
372,28/12/2024,Oso navideño,Navidad,Media,Mediano,4,31.53,5.0,Alemania,Mujer,68
373,07/11/2024,Oso corazón,Amor,Media,Mediano,4,44.42,5.0,Ecuador,Mujer,41
374,26/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.12,5.0,Chile,Mujer,36
375,25/07/2024,Oso panda,Llavero,Baja,Pequeño,2,5.63,3.5,Bolivia,Mujer,30
376,07/05/2024,Oso panda,Llavero,Baja,Pequeño,2,47.02,3.5,Perú,Hombre,34
377,13/02/2024,Cupido,Amor,Alta,Mediano,6,30.44,5.0,República Dominicana,Mujer,29
378,18/06/2024,Papa Noel,Navidad,Alta,Grande,7,10.62,7.5,Perú,Mujer,39
379,19/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,23.05,5.0,Perú,Mujer,34
380,17/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.44,5.0,Sudáfrica,Mujer,34
381,11/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,5.13,5.0,Australia,Hombre,58
382,15/05/2024,Oso corazón,Amor,Media,Mediano,4,33.81,5.0,Uruguay,Mujer,36
383,16/04/2024,Oso navideño,Navidad,Media,Mediano,4,46.34,5.0,Nigeria,Mujer,30
384,10/08/2024,Oso corazón,Amor,Media,Mediano,4,20.03,5.0,Nicaragua,Hombre,49
385,10/10/2024,Oso navideño,Navidad,Media,Mediano,4,47.31,5.0,Nigeria,Mujer,23
386,12/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.2,5.0,Paraguay,Mujer,29
387,10/10/2024,Oso panda,Llavero,Baja,Pequeño,2,22.69,3.5,Francia,Mujer,19
388,28/08/2024,Rana,Llavero,Baja,Pequeño,1,34.87,3.5,Honduras,Hombre,31
389,02/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,11.44,5.0,Guatemala,Hombre,18
390,01/04/2024,Oso panda,Llavero,Baja,Pequeño,2,39.68,3.5,Reino Unido,Hombre,65
391,04/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,19.88,5.0,India,Mujer,20
392,03/02/2024,Rana,Llavero,Baja,Pequeño,1,18.01,3.5,Ecuador,Mujer,68
393,19/01/2024,Gnomo,Otoño,Media,Mediano,5,10.91,5.0,Egipto,Mujer,53
394,20/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,32.9,5.0,Costa Rica,Hombre,25
395,25/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,30.61,5.0,Paraguay,Mujer,45
396,28/08/2024,Oso corazón,Amor,Media,Mediano,4,25.76,5.0,Uruguay,Mujer,36
397,12/09/2024,Oso panda,Llavero,Baja,Pequeño,2,47.45,3.5,Venezuela,Hombre,36
398,25/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,22.57,5.0,Egipto,Mujer,29
399,06/04/2024,Oso corazón,Amor,Media,Mediano,4,29.47,5.0,México,Mujer,61
400,06/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,37.15,5.0,Alemania,Mujer,34
401,05/02/2024,Oso corazón,Amor,Media,Mediano,4,45.53,5.0,Venezuela,Mujer,44
402,23/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,7.2,5.0,El Salvador,Hombre,30
403,19/02/2024,Oso navideño,Navidad,Media,Mediano,4,10.98,5.0,Uruguay,Mujer,42
404,10/11/2024,Oso corazón,Amor,Media,Mediano,4,32.46,5.0,El Salvador,Mujer,47
405,19/11/2024,Oso corazón,Amor,Media,Mediano,4,41.48,5.0,Perú,Mujer,N/A
406,22/05/2024,Gnomo,Otoño,Media,Mediano,5,22.85,5.0,Perú,Mujer,18
407,16/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.88,5.0,Panamá,Mujer,48
408,13/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,38.19,5.0,Argentina,Mujer,59
409,25/10/2024,Oso navideño,Navidad,Media,Mediano,4,25.07,5.0,Chile,Mujer,68
410,03/03/2024,Papa Noel,Navidad,Alta,Grande,7,45.27,7.5,El Salvador,Mujer,33
411,14/06/2024,Oso corazón,Amor,Media,Mediano,4,15.88,5.0,República Dominicana,Mujer,48
412,23/12/2024,Oso corazón,Amor,Media,Mediano,4,37.98,5.0,Cuba,Hombre,26
413,19/11/2024,Oso panda,Llavero,Baja,Pequeño,2,30.79,3.5,Perú,Mujer,53
414,19/11/2024,Rana,Llavero,Baja,Pequeño,1,40.51,3.5,Portugal,Hombre,42
415,17/07/2024,Oso panda,Llavero,Baja,Pequeño,2,44.54,3.5,Chile,Mujer,51
416,17/02/2024,Oso corazón,Amor,Media,Mediano,4,44.46,5.0,Colombia,Mujer,30
417,24/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,47.31,5.0,Brasil,Mujer,28
418,25/09/2024,Oso corazón,Amor,Media,Mediano,4,24.14,5.0,España,Mujer,37
419,08/06/2024,Gnomo,Otoño,Media,Mediano,5,7.19,5.0,Uruguay,Hombre,28
420,14/10/2024,Oso navideño,Navidad,Media,Mediano,4,15.88,5.0,El Salvador,Mujer,36
421,08/09/2024,Oso navideño,Navidad,Media,Mediano,4,44.0,5.0,México,Mujer,49
422,04/06/2024,Oso corazón,Amor,Media,Mediano,4,23.31,5.0,Italia,Mujer,51
423,01/11/2024,Oso navideño,Navidad,Media,Mediano,4,8.92,5.0,Honduras,Hombre,44
424,25/02/2024,Rana,Llavero,Baja,Pequeño,1,39.0,3.5,El Salvador,Hombre,49
425,12/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.8,5.0,Argentina,Mujer,53
426,10/05/2024,Oso panda,Llavero,Baja,Pequeño,2,7.3,3.5,Panamá,Mujer,
427,09/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,20.86,5.0,Venezuela,Mujer,22
428,13/10/2024,Oso corazón,Amor,Media,Mediano,4,49.13,5.0,México,Mujer,22
429,05/07/2024,Oso corazón,Amor,Media,Mediano,4,46.67,5.0,Cuba,Mujer,59
430,28/04/2024,Oso navideño,Navidad,Media,Mediano,4,38.45,5.0,India,Mujer,44
431,21/06/2024,Oso panda,Llavero,Baja,Pequeño,2,18.43,3.5,Honduras,Mujer,
432,03/04/2024,Gnomo,Otoño,Media,Mediano,5,28.47,5.0,Costa Rica,Mujer,60
433,10/03/2024,Oso panda,Llavero,Baja,Pequeño,2,48.78,3.5,Ecuador,Mujer,28
434,18/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.66,5.0,Colombia,Hombre,52
435,21/08/2024,Oso navideño,Navidad,Media,Mediano,4,13.24,5.0,Cuba,Mujer,22
436,16/02/2024,Oso panda,Llavero,Baja,Pequeño,2,30.29,3.5,Bolivia,Mujer,40
437,04/05/2024,Gnomo,Otoño,Media,Mediano,5,31.55,5.0,Bolivia,Mujer,22
438,26/02/2024,Rana,Llavero,Baja,Pequeño,1,18.22,3.5,Bolivia,Mujer,32
439,27/01/2024,Cupido,Amor,Alta,Mediano,6,19.33,5.0,Chile,Mujer,40
440,14/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.42,5.0,Paraguay,Mujer,68
441,08/02/2024,Cupido,Amor,Alta,Mediano,6,8.03,5.0,Nicaragua,Hombre,31
442,28/06/2024,Oso navideño,Navidad,Media,Mediano,4,26.69,5.0,Uruguay,Mujer,24
443,28/05/2024,Oso navideño,Navidad,Media,Mediano,4,37.95,5.0,Portugal,Mujer,65
444,06/07/2024,Papa Noel,Navidad,Alta,Grande,7,42.59,7.5,Perú,Mujer,64
445,01/12/2024,Oso panda,Llavero,Baja,Pequeño,2,16.21,3.5,Bolivia,Hombre,59
446,04/02/2024,Oso panda,Llavero,Baja,Pequeño,2,21.42,3.5,Honduras,Mujer,57
447,08/06/2024,Oso navideño,Navidad,Media,Mediano,4,9.01,5.0,Honduras,Mujer,40
448,10/07/2024,Oso navideño,Navidad,Media,Mediano,4,43.4,5.0,Panamá,Mujer,66
449,11/01/2024,Oso panda,Llavero,Baja,Pequeño,2,15.84,3.5,Alemania,Mujer,30
450,25/10/2024,Oso corazón,Amor,Media,Mediano,4,12.34,5.0,Uruguay,Mujer,20
451,07/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,19.47,5.0,Uruguay,Mujer,28
452,04/11/2024,Oso corazón,Amor,Media,Mediano,4,41.12,5.0,Nicaragua,Mujer,46
453,08/04/2024,Rana,Llavero,Baja,Pequeño,1,26.66,3.5,Costa Rica,Hombre,52
454,28/06/2024,Oso corazón,Amor,Media,Mediano,4,48.21,5.0,Ecuador,Mujer,43
455,26/12/2024,Rana,Llavero,Baja,Pequeño,1,30.46,3.5,Ecuador,Hombre,40
456,15/08/2024,Oso corazón,Amor,Media,Mediano,4,48.25,5.0,Chile,Mujer,54
457,23/03/2024,Oso navideño,Navidad,Media,Mediano,4,15.03,5.0,Costa Rica,Mujer,34
458,26/02/2024,Oso corazón,Amor,Media,Mediano,4,40.51,5.0,El Salvador,Mujer,55
459,08/04/2024,Oso panda,Llavero,Baja,Pequeño,2,38.99,3.5,Estados Unidos,Mujer,44
460,23/10/2024,Oso panda,Llavero,Baja,Pequeño,2,36.07,3.5,Argentina,Mujer,62
461,24/05/2024,Oso navideño,Navidad,Media,Mediano,4,14.39,5.0,Bolivia,Hombre,53
462,11/07/2024,Oso corazón,Amor,Media,Mediano,4,24.94,5.0,Nicaragua,Hombre,30
463,25/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,14.66,5.0,Alemania,Hombre,44
464,25/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,13.67,5.0,Suecia,Mujer,42
465,24/01/2024,Oso panda,Llavero,Baja,Pequeño,2,34.95,3.5,México,Mujer,56
466,22/03/2024,Rana,Llavero,Baja,Pequeño,1,12.44,3.5,Nicaragua,Hombre,68
467,20/08/2024,Oso navideño,Navidad,Media,Mediano,4,44.6,5.0,Perú,Mujer,47
468,05/12/2024,Oso panda,Llavero,Baja,Pequeño,2,19.39,3.5,Ecuador,Mujer,27
469,18/07/2024,Oso navideño,Navidad,Media,Mediano,4,35.04,5.0,Bolivia,Mujer,56
470,04/07/2024,Oso navideño,Navidad,Media,Mediano,4,8.3,5.0,Ecuador,Hombre,32
471,03/01/2024,Oso panda,Llavero,Baja,Pequeño,2,9.61,3.5,Perú,Mujer,69
472,14/08/2024,Oso navideño,Navidad,Media,Mediano,4,40.68,5.0,México,Hombre,37
473,08/08/2024,Oso panda,Llavero,Baja,Pequeño,2,13.76,3.5,Costa Rica,Hombre,61
474,09/01/2024,Oso navideño,Navidad,Media,Mediano,4,19.59,5.0,Venezuela,Mujer,43
475,01/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.4,5.0,Uruguay,Hombre,21
476,19/04/2024,Gnomo,Otoño,Media,Mediano,5,12.18,5.0,Uruguay,Mujer,45
477,25/12/2024,Papa Noel,Navidad,Alta,Grande,7,49.28,7.5,Panamá,Mujer,64
478,24/11/2024,Oso panda,Llavero,Baja,Pequeño,2,44.17,3.5,Nigeria,Mujer,38
479,03/04/2024,Oso panda,Llavero,Baja,Pequeño,2,29.64,3.5,China,Mujer,57
480,20/04/2024,Oso corazón,Amor,Media,Mediano,4,43.89,5.0,República Dominicana,Mujer,21
481,26/04/2024,Oso panda,Llavero,Baja,Pequeño,2,20.71,3.5,Argentina,Mujer,19
482,17/05/2024,Oso corazón,Amor,Media,Mediano,4,22.74,5.0,Bolivia,Mujer,61
483,10/11/2024,Papa Noel,Navidad,Alta,Grande,7,36.6,7.5,Italia,Mujer,67
484,27/07/2024,Oso corazón,Amor,Media,Mediano,4,14.56,5.0,Ecuador,Mujer,28
485,20/05/2024,Oso panda,Llavero,Baja,Pequeño,2,48.09,3.5,Alemania,Hombre,57
486,10/08/2024,Oso panda,Llavero,Baja,Pequeño,2,26.15,3.5,Rusia,Mujer,45
487,14/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,24.1,5.0,Venezuela,Hombre,30
488,15/08/2024,Oso navideño,Navidad,Media,Mediano,4,28.07,5.0,España,Mujer,44
489,22/02/2024,Oso navideño,Navidad,Media,Mediano,4,10.6,5.0,Bolivia,Mujer,56
490,02/06/2024,Gnomo,Otoño,Media,Mediano,5,13.62,5.0,Perú,Mujer,22
491,04/08/2024,Oso navideño,Navidad,Media,Mediano,4,42.56,5.0,Panamá,Hombre,31
492,24/08/2024,Oso navideño,Navidad,Media,Mediano,4,6.98,5.0,Suecia,Mujer,28
493,24/03/2024,Oso corazón,Amor,Media,Mediano,4,35.9,5.0,República Dominicana,Hombre,63
494,08/04/2024,Oso corazón,Amor,Media,Mediano,4,13.41,5.0,Brasil,Mujer,32
495,21/04/2024,Papa Noel,Navidad,Alta,Grande,7,22.86,7.5,Canadá,Mujer,51
496,13/01/2024,Papa Noel,Navidad,Alta,Grande,7,21.83,7.5,Colombia,Mujer,38
497,02/07/2024,Oso panda,Llavero,Baja,Pequeño,2,47.54,3.5,Perú,Hombre,62
498,13/03/2024,Oso panda,Llavero,Baja,Pequeño,2,12.75,3.5,España,Mujer,36
499,14/01/2024,Oso corazón,Amor,Media,Mediano,4,9.98,5.0,Panamá,Mujer,42
500,08/04/2024,Oso corazón,Amor,Media,Mediano,4,14.84,5.0,Cuba,Mujer,41
501,24/03/2024,Oso corazón,Amor,Media,Mediano,4,9.42,5.0,Guatemala,Hombre,64
502,22/08/2024,Oso panda,Llavero,Baja,Pequeño,2,28.78,3.5,Nicaragua,Mujer,40
503,27/04/2024,Papa Noel,Navidad,Alta,Grande,7,30.43,7.5,Nicaragua,Mujer,66
504,23/12/2024,Oso navideño,Navidad,Media,Mediano,4,43.79,5.0,Panamá,Mujer,N/A
505,26/06/2024,Oso panda,Llavero,Baja,Pequeño,2,42.91,3.5,Nigeria,Mujer,63
506,22/11/2024,Oso panda,Llavero,Baja,Pequeño,2,28.97,3.5,Nicaragua,Mujer,64
507,16/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.55,5.0,República Dominicana,Mujer,61
508,05/02/2024,Oso panda,Llavero,Baja,Pequeño,2,19.58,3.5,Colombia,Mujer,38
509,21/03/2024,Oso navideño,Navidad,Media,Mediano,4,5.51,5.0,Uruguay,Hombre,18
510,03/04/2024,Oso navideño,Navidad,Media,Mediano,4,43.13,5.0,China,Mujer,36
511,14/08/2024,Rana,Llavero,Baja,Pequeño,1,25.47,3.5,Venezuela,Hombre,
512,08/05/2024,Oso navideño,Navidad,Media,Mediano,4,5.19,5.0,El Salvador,Hombre,40
513,08/01/2024,Oso panda,Llavero,Baja,Pequeño,2,47.97,3.5,El Salvador,Mujer,28
514,10/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,23.51,5.0,Nicaragua,Mujer,32
515,26/03/2024,Oso navideño,Navidad,Media,Mediano,4,22.93,5.0,Ecuador,Mujer,57
516,05/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,24.1,5.0,Suecia,Mujer,23
517,09/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.2,5.0,México,Hombre,44
518,15/06/2024,Oso corazón,Amor,Media,Mediano,4,32.8,5.0,Perú,Mujer,51
519,11/11/2024,Oso navideño,Navidad,Media,Mediano,4,11.44,5.0,Ecuador,Mujer,36
520,03/03/2024,Papa Noel,Navidad,Alta,Grande,7,28.32,7.5,Panamá,Hombre,52
521,04/03/2024,Oso corazón,Amor,Media,Mediano,4,23.84,5.0,Panamá,Mujer,N/A
522,17/03/2024,Oso corazón,Amor,Media,Mediano,4,23.99,5.0,Chile,Mujer,61
523,28/01/2024,Gnomo,Otoño,Media,Mediano,5,21.88,5.0,Panamá,Mujer,30
524,20/02/2024,Oso panda,Llavero,Baja,Pequeño,2,29.95,3.5,Guatemala,Hombre,24
525,18/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,43.93,5.0,Bolivia,Hombre,19
526,19/05/2024,Oso panda,Llavero,Baja,Pequeño,2,12.74,3.5,Nicaragua,Mujer,66
527,28/04/2024,Oso panda,Llavero,Baja,Pequeño,2,28.51,3.5,Chile,Mujer,59
528,28/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,31.91,5.0,Uruguay,Mujer,56
529,09/08/2024,Oso corazón,Amor,Media,Mediano,4,47.35,5.0,Ecuador,Mujer,68
530,16/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.99,5.0,Venezuela,Mujer,44
531,07/03/2024,Oso panda,Llavero,Baja,Pequeño,2,24.36,3.5,México,Hombre,29
532,11/11/2024,Papa Noel,Navidad,Alta,Grande,7,13.71,7.5,Guatemala,Mujer,36
533,08/05/2024,Oso panda,Llavero,Baja,Pequeño,2,41.57,3.5,Ecuador,Mujer,64
